Country,Year,GDP,Population,OBM,OBF,GDPPerCapita
Nicaragua,2000,5107329007,5123223,10.5,20.3,996.8976574
Nicaragua,2004,5795568205,5386220,12.1,22.3,1075.999162
Nicaragua,2008,8496965842,5687752,13.9,24.5,1493.905825
Nicaragua,2012,10532001130,6030605,15.8,26.7,1746.425297
Nicaragua,2016,13230844687,6389237,17.9,29,2070.801989
Niger,1992,2344987614,8907642,0.6,2.7,263.2557094
Niger,1996,1987770899,10149939,0.8,3.3,195.8406744
Niger,2000,1798374468,11622673,1,4,154.7298516
Niger,2004,3052898739,13366889,1.3,4.9,228.3926154
Niger,2008,5403363917,15455181,1.6,6,349.6150525
Niger,2012,6942209595,17954410,2,7.2,386.6576287
Niger,2016,7528387858,20921748,2.5,8.7,359.8355098
Nigeria,1992,29300903643,100182048,1,4,292.4765886
Nigeria,1996,34987951375,110956184,1.3,5,315.3312426
Nigeria,2000,46386011231,122851984,1.7,6.2,377.5764112
Nigeria,2004,87845420504,136756848,2.2,7.6,642.3475079
Nigeria,2008,2.08E+11,152382512,2.8,9.2,1365.412588
Nigeria,2012,4.61E+11,170075936,3.6,11,2710.283482
Nigeria,2016,4.05E+11,188666928,4.6,13.1,2144.800916
Norway,1992,1.31E+11,4286560,11.3,13.8,30522.84349
Norway,1996,1.64E+11,4381511,13.1,15.2,37320.00216
Norway,2000,1.71E+11,4491204,15,16.8,38144.78256
Norway,2004,2.64E+11,4592284,17.1,18.3,57565.47287
Norway,2008,4.63E+11,4768654,19.2,19.7,96998.85964
Norway,2012,5.10E+11,5019058,21.3,21.1,101658.3192
Norway,2016,3.71E+11,5236591,23.6,22.5,70862.13149
Oman,1992,12452275683,1985234,9.1,19.8,6272.44732
Oman,1996,15277763329,2209965,11.4,22.6,6913.124565
Oman,2000,19507412224,2344261,13.3,24.7,8321.348273
Oman,2004,24763589077,2468860,15.2,26.6,10030.37397
Oman,2008,60905331599,2651032,17.3,28.7,22974.19707
Oman,2012,76689583355,3535585,20,31.1,21690.77631
Oman,2016,66293368010,4398080,22.9,33.7,15073.25197
Pakistan,1992,48635176853,122375176,1.5,3.8,397.4268184
Pakistan,1996,63320122807,137234816,1.9,4.6,461.3998448
Pakistan,2000,73952374970,154369920,2.4,5.6,479.0594889
Pakistan,2004,97977766198,170648624,3,6.7,574.1491721
Pakistan,2008,1.70E+11,185931952,3.8,8,914.7325039
Pakistan,2012,2.24E+11,202205856,4.8,9.5,1109.681017
Pakistan,2016,2.79E+11,213524848,6,11.3,1306.23205
Palau,1992,82451000,16030,34,46.8,5143.543356
Palau,1996,108203000,17759,36.9,49,6092.854327
Palau,2000,147832600,19745,39.3,50.6,7487.090403
Palau,2004,173373900,19927,42.2,52.6,8700.451649
Palau,2008,196711500,19121,45.7,55,10287.72031
Palau,2012,215095100,17974,49,57.1,11967.01346
Palau,2016,310248300,17840,51.8,58.8,17390.59978
Panama,1992,8042337700,2554387,7,14.8,3148.441368
Panama,1996,9870494000,2771607,8.5,16.9,3561.289173
Panama,2000,12304115000,3001738,10.3,19.1,4098.996981
Panama,2004,15013381700,3243310,12.1,21.3,4629.030743
Panama,2008,24522200000,3495284,13.9,23.4,7015.796141
Panama,2012,39954761200,3754871,15.7,25.4,10640.78132
Panama,2016,55187700000,4026338,17.8,27.6,13706.67341
Papua New Guinea,1992,4377984100,4136651,7,13.5,1058.340213
Papua New Guinea,1996,5155485420,4785908,8.2,15.2,1077.222007
Papua New Guinea,2000,3521348155,5508300,9.4,17,639.2803869
Papua New Guinea,2004,3927157867,6293174,10.9,19,624.034528
Papua New Guinea,2008,11670678864,7137999,12.5,21.1,1635.007075
Papua New Guinea,2012,21295834133,8026548,14.4,23.4,2653.174706
Papua New Guinea,2016,20213214172,8899176,16.6,25.8,2271.357952
Paraguay,1992,7157424031,4277057,6.5,11.2,1673.446024
Paraguay,1996,9788391733,4711656,8,13.1,2077.484378
Paraguay,2000,8195993231,5123817,9.6,15.1,1599.587423
Paraguay,2004,8033877360,5416327,11.3,17.1,1483.270371
Paraguay,2008,18504130753,5645155,13.2,19.2,3277.878243
Paraguay,2012,24595319574,5923327,15.1,21.3,4152.281239
Paraguay,2016,27424071383,6266623,17.1,23.4,4376.212097
Peru,1992,36139225288,23047250,6.9,14.8,1568.049346
Peru,1996,55252414130,24907304,8.1,16.2,2218.321747
Peru,2000,51744749133,26654440,9.3,17.7,1941.318187
Peru,2004,66768703498,27893914,10.6,19.2,2393.66564
Peru,2008,1.21E+11,28806184,12,20.8,4184.90002
Peru,2012,1.93E+11,29749592,13.5,22.4,6475.685448
Peru,2016,1.92E+11,31132776,15.2,24.2,6173.782897
Philippines,1992,52976344929,64543524,1.4,3,820.7848231
Philippines,1996,82848140618,70944968,1.8,3.6,1167.780365
Philippines,2000,81026297144,77958224,2.3,4.2,1039.355349
Philippines,2004,91371239765,84607504,2.8,4.9,1079.942504
Philippines,2008,1.74E+11,91252328,3.5,5.6,1908.9376
Philippines,2012,2.50E+11,98032320,4.3,6.5,2551.117835
Philippines,2016,3.05E+11,104875272,5.2,7.5,2907.310696
Poland,1992,94337050693,38252280,13,17.3,2466.181119
Poland,1996,1.60E+11,38401408,14.4,17.9,4165.029574
Poland,2000,1.72E+11,38504432,16,18.6,4464.05754
Poland,2004,2.55E+11,38596040,17.8,19.4,6609.538181
Poland,2008,5.34E+11,38522880,19.6,20.3,13857.11556
Poland,2012,5.00E+11,38625872,21.6,21.2,12952.04416
Poland,2016,4.71E+11,38532108,23.7,22.2,12233.01876
Portugal,1992,1.08E+11,9978745,8.5,12,10783.21973
Portugal,1996,1.23E+11,10087653,10.2,13.5,12156.44511
Portugal,2000,1.18E+11,10300632,12,15.1,11490.36292
Portugal,2004,1.89E+11,10501523,13.9,16.7,18015.19646
Portugal,2008,2.62E+11,10580963,16,18.3,24762.20737
Portugal,2012,2.16E+11,10522085,18.1,19.8,20563.22487
Portugal,2016,2.05E+11,10332751,20.3,21.2,19824.05267
Qatar,1992,7646153984,471299,17.9,32.4,16223.57354
Qatar,1996,9059340385,529277,20.1,34.2,17116.44448
Qatar,2000,17759890110,645947,22.3,36,27494.34568
Qatar,2004,31734065934,777951,24.6,37.7,40791.85699
Qatar,2008,1.15E+11,1444287,27,39.4,79811.00709
Qatar,2012,1.87E+11,1905670,29.7,41.3,98041.1089
Qatar,2016,1.52E+11,2595175,32.5,43.1,58744.40067
Romania,1992,25121666667,22800966,11.8,15.4,1101.780805
Romania,1996,37182938696,22417872,13.4,16.4,1658.629271
Romania,2000,37438527800,21919882,15,17.2,1707.971229
Romania,2004,76216441462,21289292,16.7,18,3580.036455
Romania,2008,2.08E+11,20597518,18.7,19.1,10107.14009
Romania,2012,1.72E+11,20137112,20.9,20.3,8524.807331
Romania,2016,1.88E+11,19797822,23.4,21.6,9475.385727
Russia,1992,4.60E+11,148725600,9.7,23.8,3094.900945
Russia,1996,3.92E+11,148233408,10.8,24.2,2642.589179
Russia,2000,2.60E+11,146844848,12,24.6,1768.587755
Russia,2004,5.91E+11,144353648,13.3,25.1,4094.229749
Russia,2008,1.66E+12,143086544,14.8,25.7,11607.241
Russia,2012,2.21E+12,143629360,16.4,26.3,15388.63642
Russia,2016,1.28E+12,145109152,18.1,26.9,8842.722753
Rwanda,1992,2029026704,7657202,0.3,2.2,264.9827841
Rwanda,1996,1382334879,6715510,0.4,2.9,205.8421295
Rwanda,2000,1734938264,8109994,0.6,3.8,213.9259615
Rwanda,2004,2089188829,8791855,0.8,4.8,237.6277622
Rwanda,2008,4860576609,9781999,1.1,6.1,496.8899106
Rwanda,2012,7315702176,10840331,1.5,7.6,674.8596677
Rwanda,2016,8376048905,11930902,1.9,9.3,702.0465766
Sao Tome and Principe,2004,105360801.9,157714,3.8,11,668.049773
Sao Tome and Principe,2008,188021168.8,174019,4.8,12.9,1080.463448
Sao Tome and Principe,2012,252560557.1,189936,5.9,14.9,1329.713994
Sao Tome and Principe,2016,342781715.5,204640,7.2,16.9,1675.047476
Saudi Arabia,1992,1.37E+11,17281352,15.6,29.7,7932.712672
Saudi Arabia,1996,1.59E+11,19410278,17.9,32,8174.123008
Saudi Arabia,2000,1.90E+11,21547398,20.1,34,8795.261497
Saudi Arabia,2004,2.59E+11,23661804,22.5,36,10935.00732
Saudi Arabia,2008,5.20E+11,27437352,25,38,18944.86757
Saudi Arabia,2012,7.36E+11,30821554,27.8,40.1,23878.58185
Saudi Arabia,2016,6.46E+11,33416272,30.8,42.3,19345.00653
Senegal,1992,6004885321,7974512,1.2,5.2,753.0097542
Senegal,1996,5065830414,8843426,1.5,6.2,572.8357329
Senegal,2000,4679604754,9704291,1.9,7.2,482.2201595
Senegal,2004,8031344381,10698699,2.2,8.4,750.6842076
Senegal,2008,13439023281,11872933,2.7,9.7,1131.904246
Senegal,2012,14225310519,13231840,3.3,11.2,1075.081812
Senegal,2016,14683697631,14751356,4,12.9,995.4134136
Serbia,1996,20948677840,7993447,12,16.1,2620.731437
Serbia,2000,6540247190,7935023,13.7,17.1,824.2253602
Serbia,2004,24861483281,7863399,15.4,18.2,3161.671344
Serbia,2008,49259526053,7722801,17.2,19.4,6378.453369
Serbia,2012,40742313861,7591357,19.1,20.6,5366.934247
Serbia,2016,38299854688,7493288,21.1,21.8,5111.221494
Seychelles,1992,433667193.8,72435,2.9,10.4,5986.984107
Seychelles,1996,503068472.2,75570,3.4,11.6,6656.986532
Seychelles,2000,614879764.8,80073,4,13,7678.989982
Seychelles,2004,839319927.3,84733,4.7,14.7,9905.466905
Seychelles,2008,967199594,89660,5.5,16.5,10787.41461
Seychelles,2012,1134267367,95319,6.4,18.4,11899.69856
Seychelles,2016,1427323889,100521,7.6,20.5,14199.26074
Sierra Leone,1992,679997997.6,4301575,1.1,5,158.0811674
Sierra Leone,1996,941742152.7,4347381,1.3,6,216.6228708
Sierra Leone,2000,635874002.2,4584074,1.7,7.1,138.7137298
Sierra Leone,2004,1431208677,5533329,2,8.4,258.6523731
Sierra Leone,2008,2505458705,6090861,2.5,9.8,411.3472143
Sierra Leone,2012,3801862611,6788594,3.1,11.5,560.0368222
Sierra Leone,2016,3736588554,7493918,3.8,13.3,498.6161517
Singapore,1992,52156414979,3228234,2.6,5,16156.33036
Singapore,1996,96403758865,3651905,3,5.1,26398.21103
Singapore,2000,95833932715,4053602,3.4,5.3,23641.67294
Singapore,2004,1.14E+11,4270407,3.9,5.5,26739.60585
Singapore,2008,1.92E+11,4838404,4.5,5.8,39729.21649
Singapore,2012,2.89E+11,5381003,5.1,6,53737.56528
Singapore,2016,2.97E+11,5711936,5.8,6.3,51992.17918
Slovakia,1992,15431288006,5301897,11.6,14.9,2910.522027
Slovakia,1996,27821913815,5358288,13,15.6,5192.314003
Slovakia,2000,29114875622,5376700,14.4,16.3,5415.008392
Slovakia,2004,57240535138,5374932,15.9,17.1,10649.53662
Slovakia,2008,1.00E+11,5381641,17.5,18,18642.08333
Slovakia,2012,93413992956,5409283,19.2,18.9,17269.20055
Slovakia,2016,89768598023,5431205,21,19.9,16528.30229
Slovenia,1996,21480023017,1990671,11.6,16.1,10790.34306
Slovenia,2000,20342201356,1984339,13,16.9,10251.37406
Slovenia,2004,34470227454,1996731,14.5,17.9,17263.33064
Slovenia,2008,55589849128,2034037,16,18.8,27329.81216
Slovenia,2012,46352802766,2069365,17.6,19.9,22399.52969
Slovenia,2016,44708598649,2090020,19.4,21,21391.46929
Solomon Islands,1992,378778047.2,343929,6.7,13.7,1101.326283
Solomon Islands,1996,565163750.6,386084,8,15.6,1463.836239
Solomon Islands,2000,435103853.5,429986,9.4,17.7,1011.902372
Solomon Islands,2004,375111894.9,471796,11.1,19.8,795.0722238
Solomon Islands,2008,608293860.3,516010,13.1,22.2,1178.841225
Solomon Islands,2012,1025125082,567771,15.4,24.6,1805.525612
Solomon Islands,2016,1202125000,628110,17.9,27.1,1913.87655
Somalia,2016,6217000000,14292848,3.9,12.3,434.972792
South Africa,1992,1.35E+11,41760756,5.1,25.4,3221.804701
South Africa,1996,1.48E+11,44661608,6.2,27.8,3305.031024
South Africa,2000,1.36E+11,46813272,7.6,30.2,2912.891882
South Africa,2004,2.29E+11,48556064,9.2,32.6,4714.900285
South Africa,2008,2.87E+11,50565812,11,35,5677.749227
South Africa,2012,3.96E+11,53145036,13,37.3,7457.573272
South Africa,2016,2.95E+11,56422272,15.4,39.6,5236.513694
Spain,1992,6.29E+11,39202248,13.9,17,16050.151
Spain,1996,6.41E+11,39996476,15.6,18.1,16026.36192
Spain,2000,5.95E+11,40741652,17.3,19.1,14614.11039
Spain,2004,1.07E+12,42959672,19,20.1,24896.83813
Spain,2008,1.64E+12,45966544,20.8,21,35569.7831
Spain,2012,1.34E+12,46756084,22.7,21.9,28574.24929
Spain,2016,1.24E+12,46473316,24.6,22.8,26623.01954
Sri Lanka,1992,9703011636,17624462,0.6,2.2,550.5422881
Sri Lanka,1996,13897738375,18322504,0.7,2.7,758.5064997
Sri Lanka,2000,16330814180,18776374,0.9,3.2,869.7533496
Sri Lanka,2004,20662525941,19490434,1.3,4,1060.13678
Sri Lanka,2008,40713812310,20285640,1.7,4.9,2007.026266
Sri Lanka,2012,68434399083,21017150,2.2,5.9,3256.121743
Sri Lanka,2016,81321876307,21425494,2.9,7.3,3795.565988
Suriname,1992,404600000,419531,8.8,22.3,964.4102581
Suriname,1996,860630922.7,443840,10.2,24,1939.056693
Suriname,2000,892164393.9,479011,11.7,25.9,1862.513374
Suriname,2004,1484092538,510588,13.3,27.8,2906.63419
Suriname,2008,3532969035,533939,15.1,29.8,6616.802734
Suriname,2012,4980000000,558111,16.9,31.7,8922.956186
Suriname,2016,3278425328,581462,18.9,33.7,5638.245196
Sweden,1992,2.80E+11,8640277,11.9,11.9,32442.47841
Sweden,1996,2.88E+11,8785493,13.5,12.8,32793.15116
Sweden,2000,2.60E+11,8871042,15.2,13.9,29286.52575
Sweden,2004,3.82E+11,9004263,17,14.9,42391.58718
Sweden,2008,5.14E+11,9229282,18.9,15.9,55688.62237
Sweden,2012,5.44E+11,9555984,20.9,16.9,56915.22715
Sweden,2016,5.14E+11,9953322,23.1,18.1,51687.26582
Switzerland,1992,2.72E+11,6873188,11.2,10.5,39547.00497
Switzerland,1996,3.30E+11,7069694,13.2,11.8,46691.12977
Switzerland,2000,2.72E+11,7182052,14.8,12.8,37879.8427
Switzerland,2004,3.94E+11,7381153,16.5,13.8,53401.41303
Switzerland,2008,5.54E+11,7638288,18.3,14.8,72576.86539
Switzerland,2012,6.68E+11,7995738,20.2,15.8,83550.01127
Switzerland,2016,6.69E+11,8372902,22.2,16.9,79882.81721
Syria,1992,13253565899,13156408,8.6,20.6,1007.384835
Syria,1996,13789560878,14708883,10,22.6,937.4988487
Syria,2000,19325894913,16307659,11.7,24.8,1185.080882
Syria,2004,25086930693,18084010,13.6,27.1,1387.243797
Tajikistan,1992,1909246641,5656216,4.8,8,337.5483965
Tajikistan,1996,1043893063,6035605,5.4,8.8,172.9558285
Tajikistan,2000,860550305.8,6273001,6.1,9.7,137.1831928
Tajikistan,2004,2076148696,6801206,7.1,11,305.2618456
Tajikistan,2008,5161336170,7324633,8.3,12.6,704.6545772
Tajikistan,2012,7633049792,7956383,9.8,14.5,959.3617844
Tajikistan,2016,6951657159,8725326,11.6,16.7,796.7217682
Tanzania,1992,4601413264,27580728,1,3.9,166.8343658
Tanzania,1996,6496195451,31140730,1.2,4.8,208.6076804
Tanzania,2000,10185786383,34463704,1.6,5.9,295.5511219
Tanzania,2004,12825801581,38360884,2,7.2,334.3458295
Tanzania,2008,27368386358,42870888,2.5,8.7,638.3909369
Tanzania,2012,39087748240,47786136,3.1,10.6,817.9725651
Tanzania,2016,47340071107,54401804,4,12.7,870.1930382
Thailand,1992,1.11E+11,56939020,1.1,3.6,1957.409875
Thailand,1996,1.83E+11,60211100,1.5,4.4,3039.887994
Thailand,2000,1.26E+11,63066604,2,5.3,2004.103471
Thailand,2004,1.73E+11,65311164,2.7,6.6,2647.250323
Thailand,2008,2.91E+11,67328240,3.7,8.3,4327.797667
Thailand,2012,3.98E+11,69157024,5.2,10.4,5748.656854
Thailand,2016,4.07E+11,70607032,7,12.7,5764.666613
Timor Leste,2000,350391812.5,878367,0.8,2,398.9127694
Timor Leste,2004,442875783.7,945993,1,2.5,468.1596837
Timor Leste,2008,659561789.4,1043085,1.4,3.1,632.3183532
Timor Leste,2012,1188900000,1137683,1.9,3.9,1045.018691
Timor Leste,2016,1782974000,1224568,2.6,4.9,1456.002443
Togo,1992,1692959110,4106228,1,4.3,412.2905767
Togo,1996,1465448290,4445892,1.3,5.2,329.6185085
Togo,2000,1294250233,5008043,1.6,6.3,258.4343291
Togo,2004,1937074572,5565213,2,7.6,348.0683618
Togo,2008,3163416242,6222491,2.5,9,508.3842214
Togo,2012,3866617463,6926634,3.1,10.7,558.2245955
Togo,2016,4399995987,7661361,3.9,12.5,574.3099675
Tonga,1992,137066290.6,99276,23.3,39.1,1380.658876
Tonga,1996,219583570.1,100209,26.1,41.9,2191.255976
Tonga,2000,202363492.2,102620,29,44.7,1971.969326
Tonga,2004,229358214.8,105054,32,47.3,2183.241141
Tonga,2008,349484427.6,106945,35,49.8,3267.88936
Tonga,2012,472358251.2,107517,38.2,52.2,4393.335484
Tonga,2016,401562006.2,105721,41.4,54.5,3798.318274
Trinidad and Tobago,1992,5439552941,1285506,3.6,11.1,4231.448893
Trinidad and Tobago,1996,5759537726,1313442,4.4,13.1,4385.071991
Trinidad and Tobago,2000,8154338233,1332203,5.4,15.5,6120.942704
Trinidad and Tobago,2004,13280275123,1361180,6.5,17.9,9756.44303
Trinidad and Tobago,2008,27870257894,1392808,7.8,20.4,20010.12192
Trinidad and Tobago,2012,25694164489,1430379,9.2,23.1,17963.18632
Trinidad and Tobago,2016,21894706041,1469334,10.8,26,14901.10897
Tunisia,1992,15497286296,8802535,7.6,20.8,1760.548103
Tunisia,1996,19587322786,9430552,9.1,23.2,2077.007028
Tunisia,2000,21473188882,9893326,10.8,25.4,2170.472183
Tunisia,2004,31183139301,10292230,12.6,27.6,3029.774821
Tunisia,2008,44856586316,10680381,14.6,29.8,4199.90507
Tunisia,2012,45044112939,11174384,16.7,32,4031.015306
Tunisia,2016,42062549395,11685666,19.1,34.3,3599.49954
Turkey,1992,1.58E+11,56302040,10.4,24.2,2814.445089
Turkey,1996,1.81E+11,60293784,12.4,26.8,3009.862509
Turkey,2000,2.73E+11,64113548,14.4,29.2,4257.742841
Turkey,2004,4.05E+11,67785080,16.5,31.6,5971.623844
Turkey,2008,7.64E+11,71320728,18.9,34.1,10716.88444
Turkey,2012,8.74E+11,75277440,21.5,36.7,11610.14508
Turkey,2016,8.64E+11,81019400,24.4,39.2,10660.55784
Turkmenistan,1992,3200539816,3926374,6.5,10.4,815.1388064
Turkmenistan,1996,2379281768,4301092,7.5,11.6,553.1808592
Turkmenistan,2000,2904662605,4569135,8.6,13,635.7138944
Turkmenistan,2004,6838351088,4819793,10.1,14.6,1418.805971
Turkmenistan,2008,19271523179,5100089,11.7,16.5,3778.664094
Turkmenistan,2012,35164210526,5458688,13.7,18.6,6441.879537
Turkmenistan,2016,36179885714,5868568,15.9,20.9,6165.027944
Tuvalu,1992,9742949.471,9489,25.9,39.6,1026.762511
Tuvalu,1996,12334846.23,9631,29.6,43,1280.74408
Tuvalu,2000,13742057.05,9662,32.9,45.8,1422.278726
Tuvalu,2004,21534931.61,9814,36.3,48.5,2194.307276
Tuvalu,2008,30290219.76,10294,39.8,51.2,2942.51212
Tuvalu,2012,39875750.67,10876,43.5,53.8,3666.398554
Tuvalu,2016,34218878.44,10876,47,56.2,3146.274222
Uganda,1992,2857457860,18801968,0.5,2.6,151.9765303
Uganda,1996,6044585327,21249570,0.6,3.2,284.4568303
Uganda,2000,6193246837,24020710,0.8,3.9,257.8294662
Uganda,2004,7940362799,27146082,0.9,4.8,292.5049294
Uganda,2008,14239026630,30509868,1.2,5.9,466.7023348
Uganda,2012,23132149257,34273296,1.5,7.1,674.9321471
Uganda,2016,24078931933,38748308,1.8,8.6,621.4189258
Ukraine,1992,73942235330,51785152,12,21.3,1427.865565
Ukraine,1996,44558077827,50616104,13.4,21.9,880.3142539
Ukraine,2000,31261527363,48879756,14.8,22.5,639.559808
Ukraine,2004,64883060726,47261960,16.4,23.2,1372.838975
Ukraine,2008,1.80E+11,46062936,18.1,23.9,3907.523394
Ukraine,2012,1.76E+11,45406228,20,24.8,3871.297127
Ukraine,2016,93270479389,44833568,22,25.7,2080.371551
United Arab Emirates,1992,54239171888,2116235,14.4,29.6,25630.03253
United Arab Emirates,1996,73571233996,2572739,15.9,30.9,28596.46237
United Arab Emirates,2000,1.04E+11,3275338,17.7,32.7,31855.33829
United Arab Emirates,2004,1.48E+11,3993346,19.8,34.7,37017.57874
United Arab Emirates,2008,3.15E+11,6988687,22.2,36.8,45140.81114
United Arab Emirates,2012,3.75E+11,8664976,24.8,38.9,43256.66915
United Arab Emirates,2016,3.49E+11,8994266,27.5,41,38773.92552
United States,1992,6.54E+12,255175328,18.3,21.4,25626.69382
United States,1996,8.10E+12,268984352,21,24.1,30114.01942
United States,2000,1.03E+13,282398560,24,26.9,36419.44916
United States,2004,1.23E+13,293947904,27,29.6,41758.76008
United States,2008,1.47E+13,305694912,29.8,32.1,48148.0045
United States,2012,1.62E+13,316651328,32.6,34.5,51019.20811
United States,2016,1.86E+13,327210208,35.5,37,56919.06776
Uruguay,1992,12878157306,3153732,13.5,20.5,4083.465972
Uruguay,1996,20515465834,3226635,15.2,22.1,6358.161315
Uruguay,2000,22823255802,3292227,16.9,23.7,6932.467233
Uruguay,2004,13686329890,3313804,18.8,25.4,4130.096376
Uruguay,2008,30366213095,3336131,20.7,27.1,9102.224432
Uruguay,2012,51264390121,3371134,22.8,28.8,15206.86811
Uruguay,2016,52419720714,3413768,24.9,30.6,15355.38464
Uzbekistan,1992,12941297376,21588150,5.9,9.5,599.4630098
Uzbekistan,1996,13948892216,23465930,6.7,10.5,594.431681
Uzbekistan,2000,13760374488,24925558,7.6,11.6,552.0588341
Uzbekistan,2004,12030023548,26234924,8.8,13.1,458.5499675
Uzbekistan,2008,29549438884,27726820,10.2,14.8,1065.734869
Uzbekistan,2012,51821573338,29503058,11.8,16.7,1756.481424
Uzbekistan,2016,67220335570,31453576,13.8,19,2137.12856
Vanuatu,1992,196142585,158593,8.1,15.7,1236.766976
Vanuatu,1996,245177633.2,174725,9.6,17.9,1403.220107
Vanuatu,2000,272014693.1,192087,11.3,20.2,1416.101522
Vanuatu,2004,364996869.1,212431,13.2,22.6,1718.190232
Vanuatu,2008,607958616.1,233967,15.3,25,2598.480196
Vanuatu,2012,781702874.1,257329,17.6,27.5,3037.756623
Vanuatu,2016,773502895.9,283239,20.2,30.1,2730.919456
Venezuela,1992,58450099415,20700462,12.2,20,2823.61328
Venezuela,1996,68263823149,22572114,13.9,21.5,3024.254757
Venezuela,2000,1.17E+11,24427732,15.7,23.1,4795.410397
Venezuela,2004,1.12E+11,26226930,17.4,24.5,4287.692078
Venezuela,2008,3.16E+11,27933836,19.1,25.9,11310.76305
Venezuela,2012,3.81E+11,29470428,20.7,27.2,12937.91865
Vietnam,1992,9866990236,69788752,0.2,0.5,141.3836751
Vietnam,1996,24657470575,74946456,0.3,0.7,329.0011548
Vietnam,2000,31172518403,79001144,0.4,0.9,394.5831266
Vietnam,2004,45427854693,82311232,0.5,1.2,551.9034716
Vietnam,2008,99130304099,85597232,0.8,1.5,1158.101749
Vietnam,2012,1.56E+11,89301328,1.1,2,1744.878867
Vietnam,2016,2.05E+11,93126528,1.6,2.6,2204.269872
Zambia,1992,3181921788,8074342,1.3,5.4,394.0781537
Zambia,1996,3597220962,8902025,1.4,6,404.0901887
Zambia,2000,3600683040,9891140,1.6,6.7,364.0311471
Zambia,2004,6221077675,11188044,1.9,7.7,556.046944
Zambia,2008,17910858638,12852968,2.3,9,1393.519274
Zambia,2012,25503370699,14744662,2.9,10.6,1729.668045
Zambia,2016,21063989683,16767758,3.6,12.4,1256.219805
Zimbabwe,1992,6751472200,10641504,1.5,14,634.4471796
Zimbabwe,1996,8553146600,11178171,1.9,16,765.1651241
Zimbabwe,2000,6689957600,11834679,2.4,18,565.2842464
Zimbabwe,2004,5805598400,12160885,2.9,19.9,477.399334
Zimbabwe,2008,4415702800,12550353,3.5,21.7,351.8389323
Zimbabwe,2012,14242490252,13265331,4,23.5,1073.662636
Zimbabwe,2016,16619960402,14452705,4.7,25.3,1149.955002
